Sample Name, Sample-1
Time, March 10 13:30:39 2023
Operator, Smith
Lamp, 0
Slit,0.0
Scan From, 1100.0nm
Scan To, 190.0nm
Scan Step, 0.5nm
Sample Filter, 5
memo, 
WL(nm), Abs, T%
190.0, 0.1825, 65.69
190.5, 0.1794, 66.15
191.0, 0.1780, 66.37
191.5, 0.1753, 66.79
192.0, 0.1728, 67.18
192.5, 0.1704, 67.55
193.0, 0.1679, 67.94
193.5, 0.1658, 68.26
194.0, 0.1636, 68.62
194.5, 0.1611, 69.01
195.0, 0.1591, 69.33
195.5, 0.1568, 69.69
196.0, 0.1550, 69.98
196.5, 0.1526, 70.37
197.0, 0.1503, 70.74
197.5, 0.1483, 71.08
198.0, 0.1456, 71.52
198.5, 0.1428, 71.97
199.0, 0.1401, 72.42
199.5, 0.1377, 72.83
200.0, 0.1351, 73.27
200.5, 0.1323, 73.74
201.0, 0.1302, 74.09
201.5, 0.1276, 74.54
202.0, 0.1251, 74.98
202.5, 0.1224, 75.44
203.0, 0.1198, 75.89
203.5, 0.1172, 76.34
204.0, 0.1148, 76.78
204.5, 0.1126, 77.16
205.0, 0.1103, 77.56
205.5, 0.1081, 77.97
206.0, 0.1060, 78.34
206.5, 0.1039, 78.72
207.0, 0.1020, 79.07
207.5, 0.1001, 79.42
208.0, 0.0982, 79.77
208.5, 0.0962, 80.13
209.0, 0.0946, 80.43
209.5, 0.0930, 80.72
210.0, 0.0915, 81.00
210.5, 0.0901, 81.27
211.0, 0.0888, 81.50
211.5, 0.0877, 81.71
212.0, 0.0865, 81.95
212.5, 0.0852, 82.18
213.0, 0.0841, 82.39
213.5, 0.0830, 82.60
214.0, 0.0819, 82.81
214.5, 0.0810, 82.99
215.0, 0.0800, 83.17
215.5, 0.0795, 83.28
216.0, 0.0785, 83.47
216.5, 0.0779, 83.57
217.0, 0.0772, 83.71
217.5, 0.0767, 83.80
218.0, 0.0761, 83.93
218.5, 0.0755, 84.04
219.0, 0.0750, 84.14
219.5, 0.0745, 84.24
220.0, 0.0741, 84.32
220.5, 0.0736, 84.42
221.0, 0.0731, 84.51
221.5, 0.0729, 84.55
222.0, 0.0725, 84.62
222.5, 0.0720, 84.72
223.0, 0.0717, 84.78
223.5, 0.0713, 84.86
224.0, 0.0710, 84.92
224.5, 0.0707, 84.97
225.0, 0.0703, 85.06
225.5, 0.0700, 85.11
226.0, 0.0698, 85.15
226.5, 0.0695, 85.21
227.0, 0.0692, 85.27
227.5, 0.0687, 85.37
228.0, 0.0684, 85.43
228.5, 0.0679, 85.53
229.0, 0.0676, 85.59
229.5, 0.0672, 85.66
230.0, 0.0668, 85.74
230.5, 0.0665, 85.80
231.0, 0.0662, 85.87
231.5, 0.0658, 85.95
232.0, 0.0654, 86.03
232.5, 0.0650, 86.10
233.0, 0.0644, 86.22
233.5, 0.0638, 86.33
234.0, 0.0636, 86.38
234.5, 0.0630, 86.49
235.0, 0.0627, 86.56
235.5, 0.0622, 86.65
236.0, 0.0617, 86.75
236.5, 0.0613, 86.83
237.0, 0.0608, 86.93
237.5, 0.0604, 87.01
238.0, 0.0599, 87.12
238.5, 0.0595, 87.20
239.0, 0.0589, 87.31
239.5, 0.0585, 87.41
240.0, 0.0581, 87.48
240.5, 0.0577, 87.56
241.0, 0.0573, 87.63
241.5, 0.0569, 87.73
242.0, 0.0565, 87.80
242.5, 0.0561, 87.89
243.0, 0.0556, 87.97
243.5, 0.0553, 88.05
244.0, 0.0550, 88.11
244.5, 0.0545, 88.21
245.0, 0.0542, 88.27
245.5, 0.0539, 88.33
246.0, 0.0536, 88.40
246.5, 0.0532, 88.47
247.0, 0.0528, 88.54
247.5, 0.0526, 88.59
248.0, 0.0522, 88.68
248.5, 0.0519, 88.73
249.0, 0.0517, 88.78
249.5, 0.0514, 88.84
250.0, 0.0510, 88.91
250.5, 0.0509, 88.94
251.0, 0.0506, 88.99
251.5, 0.0504, 89.05
252.0, 0.0501, 89.09
252.5, 0.0499, 89.14
253.0, 0.0496, 89.21
253.5, 0.0493, 89.27
254.0, 0.0490, 89.32
254.5, 0.0484, 89.45
255.0, 0.0483, 89.48
255.5, 0.0481, 89.51
256.0, 0.0480, 89.54
256.5, 0.0476, 89.61
257.0, 0.0475, 89.65
257.5, 0.0473, 89.69
258.0, 0.0471, 89.72
258.5, 0.0469, 89.77
259.0, 0.0468, 89.78
259.5, 0.0467, 89.81
260.0, 0.0464, 89.87
260.5, 0.0464, 89.87
261.0, 0.0462, 89.90
261.5, 0.0459, 89.96
262.0, 0.0458, 89.99
262.5, 0.0457, 90.02
263.0, 0.0454, 90.06
263.5, 0.0453, 90.09
264.0, 0.0452, 90.11
264.5, 0.0450, 90.16
265.0, 0.0450, 90.15
265.5, 0.0449, 90.17
266.0, 0.0448, 90.20
266.5, 0.0446, 90.24
267.0, 0.0444, 90.28
267.5, 0.0443, 90.31
268.0, 0.0441, 90.34
268.5, 0.0441, 90.35
269.0, 0.0440, 90.37
269.5, 0.0439, 90.39
270.0, 0.0438, 90.40
270.5, 0.0437, 90.42
271.0, 0.0436, 90.44
271.5, 0.0434, 90.49
272.0, 0.0433, 90.51
272.5, 0.0432, 90.52
273.0, 0.0432, 90.53
273.5, 0.0432, 90.53
274.0, 0.0430, 90.58
274.5, 0.0429, 90.59
275.0, 0.0430, 90.58
275.5, 0.0429, 90.60
276.0, 0.0428, 90.61
276.5, 0.0427, 90.63
277.0, 0.0426, 90.66
277.5, 0.0425, 90.68
278.0, 0.0424, 90.70
278.5, 0.0424, 90.70
279.0, 0.0423, 90.71
279.5, 0.0423, 90.72
280.0, 0.0423, 90.72
280.5, 0.0422, 90.73
281.0, 0.0421, 90.76
281.5, 0.0421, 90.77
282.0, 0.0419, 90.81
282.5, 0.0419, 90.80
283.0, 0.0418, 90.81
283.5, 0.0417, 90.84
284.0, 0.0418, 90.83
284.5, 0.0417, 90.84
285.0, 0.0417, 90.85
285.5, 0.0415, 90.89
286.0, 0.0415, 90.89
286.5, 0.0415, 90.90
287.0, 0.0413, 90.93
287.5, 0.0413, 90.94
288.0, 0.0411, 90.97
288.5, 0.0411, 90.98
