Sample Name, Sample-1
Time, March 10 15:21:05 2023
Operator, Smith
Lamp, 0
Slit,0.0
Scan From, 1100.0nm
Scan To, 190.0nm
Scan Step, 0.5nm
Sample Filter, 5
memo, 
WL(nm), Abs, T%
190.0, 2.1844, 0.65
190.5, 2.2303, 0.59
191.0, 2.2198, 0.60
191.5, 2.2655, 0.54
192.0, 2.3208, 0.48
192.5, 2.3705, 0.43
193.0, 2.4973, 0.32
193.5, 2.5680, 0.27
194.0, 2.5518, 0.28
194.5, 2.5638, 0.27
195.0, 2.5906, 0.26
195.5, 2.5544, 0.28
196.0, 2.5698, 0.27
196.5, 2.5488, 0.28
197.0, 2.6110, 0.24
197.5, 2.6112, 0.24
198.0, 2.7028, 0.20
198.5, 2.7510, 0.18
199.0, 2.7182, 0.19
199.5, 2.7816, 0.17
200.0, 2.7169, 0.19
200.5, 2.6847, 0.21
201.0, 2.7078, 0.20
201.5, 2.6963, 0.20
202.0, 2.6888, 0.20
202.5, 2.7328, 0.19
203.0, 2.7886, 0.16
203.5, 2.8322, 0.15
204.0, 2.8665, 0.14
204.5, 2.8106, 0.15
205.0, 2.8077, 0.16
205.5, 2.7625, 0.17
206.0, 2.7497, 0.18
206.5, 2.7572, 0.17
207.0, 2.7642, 0.17
207.5, 2.8317, 0.15
208.0, 2.8249, 0.15
208.5, 2.8105, 0.15
209.0, 2.8125, 0.15
209.5, 2.7811, 0.17
210.0, 2.7493, 0.18
210.5, 2.6787, 0.21
211.0, 2.6685, 0.21
211.5, 2.6640, 0.22
212.0, 2.6404, 0.23
212.5, 2.6253, 0.24
213.0, 2.6152, 0.24
213.5, 2.5818, 0.26
214.0, 2.5446, 0.29
214.5, 2.4894, 0.32
215.0, 2.4566, 0.35
215.5, 2.4192, 0.38
216.0, 2.3822, 0.41
216.5, 2.3466, 0.45
217.0, 2.3296, 0.47
217.5, 2.3011, 0.50
218.0, 2.2698, 0.54
218.5, 2.2426, 0.57
219.0, 2.2018, 0.63
219.5, 2.1676, 0.68
220.0, 2.1260, 0.75
220.5, 2.0982, 0.80
221.0, 2.0673, 0.86
221.5, 2.0318, 0.93
222.0, 2.0094, 0.98
222.5, 1.9796, 1.05
223.0, 1.9515, 1.12
223.5, 1.9159, 1.21
224.0, 1.8860, 1.30
224.5, 1.8560, 1.39
225.0, 1.8243, 1.50
225.5, 1.7956, 1.60
226.0, 1.7620, 1.73
226.5, 1.7346, 1.84
227.0, 1.7066, 1.97
227.5, 1.6753, 2.11
228.0, 1.6448, 2.27
228.5, 1.6149, 2.43
229.0, 1.5825, 2.61
229.5, 1.5479, 2.83
230.0, 1.5149, 3.06
230.5, 1.4804, 3.31
231.0, 1.4506, 3.54
231.5, 1.4159, 3.84
232.0, 1.3837, 4.13
232.5, 1.3510, 4.46
233.0, 1.3186, 4.80
233.5, 1.2865, 5.17
234.0, 1.2542, 5.57
234.5, 1.2229, 5.99
235.0, 1.1913, 6.44
235.5, 1.1633, 6.87
236.0, 1.1368, 7.30
236.5, 1.1100, 7.76
237.0, 1.0839, 8.24
237.5, 1.0592, 8.73
238.0, 1.0359, 9.21
238.5, 1.0131, 9.70
239.0, 0.9915, 10.20
239.5, 0.9715, 10.68
240.0, 0.9531, 11.14
240.5, 0.9359, 11.59
241.0, 0.9199, 12.03
241.5, 0.9054, 12.43
242.0, 0.8912, 12.85
242.5, 0.8776, 13.25
243.0, 0.8651, 13.64
243.5, 0.8524, 14.05
244.0, 0.8409, 14.42
244.5, 0.8297, 14.80
245.0, 0.8199, 15.14
245.5, 0.8104, 15.48
246.0, 0.8016, 15.79
246.5, 0.7932, 16.10
247.0, 0.7853, 16.40
247.5, 0.7780, 16.67
248.0, 0.7713, 16.93
248.5, 0.7639, 17.22
249.0, 0.7573, 17.49
249.5, 0.7507, 17.75
250.0, 0.7452, 17.98
250.5, 0.7392, 18.23
251.0, 0.7339, 18.45
251.5, 0.7290, 18.66
252.0, 0.7243, 18.87
252.5, 0.7199, 19.06
253.0, 0.7155, 19.25
253.5, 0.7108, 19.46
254.0, 0.7071, 19.63
254.5, 0.7018, 19.87
255.0, 0.6984, 20.03
255.5, 0.6948, 20.19
256.0, 0.6916, 20.34
256.5, 0.6888, 20.47
257.0, 0.6860, 20.61
257.5, 0.6831, 20.75
258.0, 0.6802, 20.88
258.5, 0.6776, 21.01
