Sample Name, Sample-4
Time, March 10 13:58:20 2023
Operator, Smith
Lamp, 0
Slit,0.0
Scan From, 1100.0nm
Scan To, 190.0nm
Scan Step, 0.5nm
Sample Filter, 5
memo, 
WL(nm), Abs, T%
190.0, 2.5491, 0.28
190.5, 2.6248, 0.24
191.0, 2.7961, 0.16
191.5, 3.0623, 0.09
192.0, 2.9759, 0.11
192.5, 3.1394, 0.07
193.0, 2.9114, 0.12
193.5, 3.0021, 0.10
194.0, 2.9399, 0.11
194.5, 2.8785, 0.13
195.0, 2.9420, 0.11
195.5, 2.9563, 0.11
196.0, 2.9824, 0.10
196.5, 3.1594, 0.07
197.0, 3.1100, 0.08
197.5, 3.1823, 0.07
198.0, 3.4260, 0.04
198.5, 3.1587, 0.07
199.0, 3.0571, 0.09
199.5, 3.1114, 0.08
200.0, 3.1005, 0.08
200.5, 3.2821, 0.05
201.0, 3.3449, 0.05
201.5, 3.4572, 0.03
202.0, 3.4224, 0.04
202.5, 3.3341, 0.05
203.0, 3.3469, 0.04
203.5, 3.2216, 0.06
204.0, 3.2209, 0.06
204.5, 3.2870, 0.05
205.0, 3.3443, 0.05
205.5, 3.4071, 0.04
206.0, 3.5946, 0.03
206.5, 3.5545, 0.03
207.0, 3.6443, 0.02
207.5, 3.5757, 0.03
208.0, 3.6372, 0.02
208.5, 3.3890, 0.04
209.0, 3.3295, 0.05
209.5, 3.4231, 0.04
210.0, 3.4021, 0.04
210.5, 3.4729, 0.03
211.0, 3.4339, 0.04
211.5, 3.5820, 0.03
212.0, 3.5694, 0.03
212.5, 3.6404, 0.02
213.0, 3.4351, 0.04
213.5, 3.3208, 0.05
214.0, 3.4089, 0.04
214.5, 3.3786, 0.04
215.0, 3.4481, 0.04
215.5, 3.4824, 0.03
216.0, 3.7611, 0.02
216.5, 3.6283, 0.02
217.0, 3.6969, 0.02
217.5, 3.6414, 0.02
218.0, 3.4573, 0.03
218.5, 3.3703, 0.04
219.0, 3.4666, 0.03
219.5, 3.4004, 0.04
220.0, 3.4752, 0.03
220.5, 3.6306, 0.02
221.0, 3.7137, 0.02
221.5, 3.5713, 0.03
222.0, 3.4657, 0.03
222.5, 3.4939, 0.03
223.0, 3.5238, 0.03
223.5, 3.4090, 0.04
224.0, 3.4335, 0.04
224.5, 3.5074, 0.03
225.0, 3.3987, 0.04
225.5, 3.4434, 0.04
226.0, 3.6339, 0.02
226.5, 3.6372, 0.02
227.0, 3.6405, 0.02
227.5, 3.5536, 0.03
228.0, 3.5306, 0.03
228.5, 3.3494, 0.04
229.0, 3.3698, 0.04
229.5, 3.4701, 0.03
230.0, 3.5441, 0.03
230.5, 3.5227, 0.03
231.0, 3.6352, 0.02
231.5, 3.5058, 0.03
232.0, 3.4453, 0.04
232.5, 3.4291, 0.04
233.0, 3.3466, 0.05
233.5, 3.3493, 0.04
234.0, 3.4190, 0.04
234.5, 3.4215, 0.04
235.0, 3.4423, 0.04
235.5, 3.3747, 0.04
236.0, 3.3765, 0.04
236.5, 3.3043, 0.05
237.0, 3.2667, 0.05
237.5, 3.1588, 0.07
238.0, 3.1228, 0.08
238.5, 3.0734, 0.08
239.0, 3.0290, 0.09
239.5, 3.0513, 0.09
240.0, 3.0297, 0.09
240.5, 2.9763, 0.11
241.0, 2.9518, 0.11
241.5, 2.8958, 0.13
242.0, 2.8323, 0.15
242.5, 2.7766, 0.17
243.0, 2.7566, 0.18
243.5, 2.7301, 0.19
244.0, 2.7153, 0.19
244.5, 2.6974, 0.20
245.0, 2.7067, 0.20
245.5, 2.6603, 0.22
246.0, 2.6441, 0.23
246.5, 2.6142, 0.24
247.0, 2.5859, 0.26
247.5, 2.5642, 0.27
248.0, 2.5482, 0.28
248.5, 2.5256, 0.30
249.0, 2.5265, 0.30
249.5, 2.5343, 0.29
250.0, 2.5165, 0.30
250.5, 2.5059, 0.31
251.0, 2.4976, 0.32
251.5, 2.4829, 0.33
252.0, 2.4645, 0.34
252.5, 2.4586, 0.35
253.0, 2.4549, 0.35
253.5, 2.4550, 0.35
254.0, 2.4615, 0.35
254.5, 2.4557, 0.35
255.0, 2.4527, 0.35
255.5, 2.4516, 0.35
256.0, 2.4484, 0.36
256.5, 2.4379, 0.36
257.0, 2.4305, 0.37
257.5, 2.4222, 0.38
258.0, 2.4298, 0.37
258.5, 2.4387, 0.36
259.0, 2.4445, 0.36
259.5, 2.4494, 0.36
260.0, 2.4565, 0.35
260.5, 2.4484, 0.36
261.0, 2.4499, 0.35
261.5, 2.4426, 0.36
262.0, 2.4395, 0.36
262.5, 2.4322, 0.37
263.0, 2.4456, 0.36
263.5, 2.4529, 0.35
264.0, 2.4685, 0.34
264.5, 2.4654, 0.34
265.0, 2.4733, 0.34
265.5, 2.4569, 0.35
266.0, 2.4609, 0.35
266.5, 2.4687, 0.34
267.0, 2.4592, 0.35
267.5, 2.4646, 0.34
